questionText,questionType,answerText,answerType,answerHelpfulness,Helpfulness_Target
how is it different from the original fluxx? is it worth getting if i have the first version?,descriptive,"I have only played the original version once. However, I did notice a couple changes. First of all, in 4.0 there is a ""rules escalation"" card, so that every time the deck has to be shuffled during one game then the basic rules ""draw one, play one"" increase by one. For example, if the deck has to be shuffled once, then the rules escalation changes the basic rules from""draw one, play one"" to ""draw two, play two"". If the deck has to be shuffled a second time during three same game then the basic rules escalate to ""draw three, play three"" and so on. Also in 4.0, some of the keepers, such as war and taxes, are now called Creepers and can prevent you from winning the game unless there is a silver lining rule card in play, or the creeper is part of a goal card. I don't know of any other differences as I only played the one game and didn't get through the whole deck, but some other things in 4.0 that could possibly be different are as follows:There is a ""radioactive potato"" that is passed around the table everyone the goal changes when it is in play. If you have the potato card in possession you can't win. However there is also a rule card that can be played that says you must have the potato card to win when you have the keepers that match the goal. There is a ""double agenda"" card that allows two possible goals to be available at the same time. There is an inflation card and a party bonus card that both increase the number on the cards, similar to the basic rules escalation mentioned above, but they increase any of the rule cards with a number on them, not just the basic rules. Lastly, there is a ""first play random"" card that requires the player to your left to choose your first play, unless you only have one play at the time according to the rules.As I said, I don't know how much of this is really different, but I hope I helped you decide if it is worth it. A someone else posted, there are always the specialty versions like the Monty Python version (you really need to know your Monty Python skits and songs to do well), martian, pirate, etc...Have fun no matter what you decide.",NA,"[2, 2]",1
Is mixing a bunch if the different themed decks together a good idea or does it become too complicated?,descriptive,"That's not really necessary. Each themed set is the entire game of fluxx, with a twist. If you are going to play or have played the original fluxx, that is the concept of the game. Each themed deck is the same game, so to speak, but with different rules, goals, keepers and creepers that fit with that theme. The Looney Labs crew may have a different take on this, and I haven't read their FAQ recently on this topic, but just thinking about the game(s) I wouldn't mix them up. Once you've played 2 different versions of fluxx you'll know exactly what I'm talking about, and how the concept of the game...""how it works"" is the same framework, but each game has a flavor of it's own!It also seems like there's something for everyone within all of the expansions. There are still a few I haven't played, but look forward to!",NA,"[1, 2]",0
Is this a good game for adults,descriptive,"We didn't care for it at all. Found it to be very confusing, and we had a 15 year old, a 40 year old and a 60+ year old trying to figure it out. Maybe you'll have better luck with it.",NA,"[1, 3]",0
how young can a player be for this game,descriptive,"I would get Family Flux to teach them how to play.  My kids have played since they were 8 and I know they could have played a bit earlier.  Family Flux does not have the ""creepers"" so it is easier to play.  Family Flux also has family cards - parents get a bonus if the card is played.  That kind of thing.  It's a blast!",NA,"[3, 3]",1
how young can a player be for this game,descriptive,They need to be able to read well and keep track of a wide variety of information at once. Probably at least 8 years old.,NA,"[2, 2]",1
how young can a player be for this game,descriptive,They should be able to read proficiently.  There is a lot of rule changing so they need to be able to follow their own card information to keep up with the rest of the game.,NA,"[2, 2]",1
will this work with window 7 64 bit,yesno,It installed on mine but came with one joystick broken so i returned it.  I addume you wont havr my bad luck.,NA,"[2, 2]",1
does the controller work on a mac?,yesno,I don't know. it works great on a pc.,NA,"[0, 1]",0
how much does the case weigh before shipping,descriptive,you probably should go on some seller sites and they should have all the info,NA,"[0, 1]",0
What material is used for the tiles?,descriptive,"It feels like ivory, not cheap plastic.",NA,"[0, 1]",0
Why has my LiPo program selection just completely disappeared? How can that happen? Why would that happen?,descriptive,"If I remember correctly, in the Settings you can change the LiPo to LiFe or LiIon. Just need to switch back to LiPo.",NA,"[0, 1]",0
what is the range that this truck can go before it doesn't get a signal?,descriptive,I am not sure. Have not been able to use it lately. Sorry,NA,"[0, 1]",0
what is the range that this truck can go before it doesn't get a signal?,descriptive,"It hasn't been used since last fall. I contacted my grandson who told me it still charges up (after 2 years of massive abuse) but the battery runs down in no time. He claims he has had it run as far as 'Kevs house' which is probably 5 city lots down the street. So I would estimate at 40 foot per lot, then 200 feet would be about right. I'm amazed that the thing still exists, given his ability to destroy anything not made of 1/4"" steel plate. It'll probably need batteries this spring or a complete rebuild. Maybe his father could reach into his pocket and cover that? hope that helps.",NA,"[0, 1]",0
How about extra parts who sells them,descriptive,It worked for about two weeks I took it out twice the third time it's not working I have to bring it to a shop to find outwhat's going on with that,NA,"[0, 1]",0
Is this good for 7 or 8 year old?,descriptive,"Thats a tough one IMO, its made of light plastic so it's safe in that aspect but the blades do spin quite fast. Would really only be a problem if it were to hit one of his eyes. It does take some practice and patience to fly correctly. With out trying to sound rude, it's possible the child may either break the item in a short period of time or lose patience trying to get to fly right. It really depends on the child and thier capabilities at that particular age. I hope this helped!",NA,"[4, 4]",1
Is this good for 7 or 8 year old?,descriptive,It depends on their skill level...it would be tough to fly if they have never flown a heli before...if it is their first time I would start with something like the Syma S107.,NA,"[4, 4]",1
"This will be my first RC Helicopter, so I will sound dumb here. Do all V911 batteries fit in the H911 I just purchased?  Accessories recommended?",descriptive,Yes it will as long as the batteries are the new plug type. The new plug type is smaller and thinner than the original. White plastic tips instead of the wide black plastic and metal only plug. Hope this helps,NA,"[2, 2]",1
what do I need for batteries,descriptive,Only 4 AA for the remote,NA,"[1, 2]",0
what do I need for batteries,descriptive,"This car is ""gas"" engine not batteries, just for the remotte control",NA,"[0, 1]",0
what do I need for batteries,descriptive,Only 4 AA for the remote,NA,"[0, 1]",0
does this truck come with a remote,yesno,Yes,Y,"[2, 2]",1
Is there anywhere to order the old school version of this game? I'm 30 years old and I remember playing one when I was a kid.,descriptive,Look on etsy,NA,"[0, 4]",0
Is there anywhere to order the old school version of this game? I'm 30 years old and I remember playing one when I was a kid.,descriptive,AMANDA I,NA,"[0, 5]",0
how to play the game mouse trap,descriptive,"the instructions are in the box.  You roll the dice, move your piece around the board.  Almost every time you land you build a part of the mouse trap.  Once it's complete you can launch the trap and try to catch the other players to win.  Hope that helps!",NA,"[2, 2]",1
how to play the game mouse trap,descriptive,"This is played like a traditional board game, where you roll the dice and advance your player.  You get pulled forward or pushed back based on where you land.  To add to this, you are constructing a complex mouse trap on top of the board at the same time, one piece at a time.  When conditions are right, you are able to run a round weight through the trap and possibly catch an opponent to make them lose the game.  It's a fun game for everyone.",NA,"[2, 2]",1
How can I order spare parts as we have lost some and the game needs all the pieces in order to work!,descriptive,http://www.hasbrotoyshop.com/parts-refills-mouse-trap-game-plastic-parts-die-mice-and-balls-refill?BR=639&ST;=SO&PG;=1,NA,"[2, 2]",1
How can I order spare parts as we have lost some and the game needs all the pieces in order to work!,descriptive,"I wish I could help you, my grandson lives in Saudi Arabia and he was VERY unhappy about the game. A lot of the pieces broke after only one game between him and his friends. I will NOT buy this again! H.K.",NA,"[0, 2]",0
Can one person play this game,descriptive,"Like any game, Mousetrap can be played by one person but is not as interesting or fun that way. Could play competitively by timing completion of mousetrap or just enjoy constructing it.",NA,"[2, 2]",1
Where is the Classic Red Wagon made?,descriptive,Made in China for an American company (home office Chicago). http://www.radioflyer.com/,NA,"[3, 3]",1
Where is the Classic Red Wagon made?,descriptive,I believe it is made in China,NA,"[2, 3]",0
What are the specs:  measurements/dimensions and weight,descriptive,length is about 35'' width of 16'' about 4'' deep   weight would be about 20lbs or so.  very sturdy  built very well.  all metal. i bought 1 for my grandson when he was 1 and he is 9 now. still looks good and i use it myself. put my heavy new tv stand on it to bring in from the car.,NA,"[4, 4]",1
What are the specs:  measurements/dimensions and weight,descriptive,Product Dimensions: 37.4 x 17.6 x 5.2 inches ; 26 pounds. It's in the description.,NA,"[2, 2]",1
What are the specs:  measurements/dimensions and weight,descriptive,I am sorry but I have already given it to my great-grandson.  He is very happy with it  The wagon is the classic Radio Flyer Red Wagon.,NA,"[0, 1]",0
What are the specs:  measurements/dimensions and weight,descriptive,"Because I had it sent directly to my nephew's home, I don't have them. Sorry. Go on the manufacture's website. I'm sure you'll be able to find your answer there.",NA,"[0, 2]",0
Where is this Radio Flyer wagon made??,descriptive,"Check with the manufacturer. I had it shipped directly to my nephew's home, so I didn't see the box.",NA,"[0, 1]",0
is it assembled,yesno,"Kimberly, the wagon does not come assembled and requires about 30 - 45 minutes to assemble.  It's not difficult but having a mechanical oriented person to assist would be great.",NA,"[3, 3]",1
is it assembled,yesno,"No, you need to put it together. I t has good instructions and takes about 1/2 hour. I have put 4 of them together. J",NA,"[2, 2]",1
is it assembled,yesno,"No, it is not assembled and assembly is not all that easy. I had someone else do it for me.",N,"[2, 3]",0
Will it fit in a regular sized suitcase for traveling?,descriptive,Yes! It packs up to about the size of a loaf of bread.,NA,"[2, 2]",1
what songs are featured,descriptive,"The Fox and the Goose, Lazy Mary, Oats Peas Beans, The Animal Fair, Little White Duck, Tom Tom the Piper's Son, Bingo, The Alphabet Song, A Tisket A Tasket, Song of the Fishes, Mister Frog Went A-Courting, and There was a Crooked Man.  There are additional sets available from this supplier and ones for other brands should work.  You can design your own, too.  Note that there are no sharps or flats.",NA,"[2, 2]",1
what songs are featured,descriptive,"*in the box* when I received my harp was these music sheets ,Rock a bye baby, Eensie weensie spider, My country tis of thee, Daisy, Clementine, Row, row, row your boat, Twinkle twinkle, little star, Baa Baa black sheep, Minuet-Johan Sebastian Bach, Jesus, joy of mans desiring, yankee doodle, brahms Lullaby. I, however buy books from a company that makes their music books to fit especially for these harps, name World of Harmony Music - Debbie Center (lovely and talented lady), you can find them here on Amazon, as well as facebook and youtube. Let them know Serena sent ya, I hope this was helpful to you. blessings",NA,"[2, 2]",1
where is it made?,descriptive,Made in China-Chaozhou,NA,"[2, 2]",1
where is it made?,descriptive,"I purchased this set (in fact TWO sets) for a friend to use with her grandchildren.  I'm sorry to say I don't know the origin of its manufacturing.  What she has loved is the SIZE, cups are big enough to actually HOLD some liquid (even for her!!), plates large enough to hold a small sandwich triangle, or some crackers,or slices of apple, etc.  Colors are as pictured!!  I realize there is a concern about what glazes are used but this is not an EVERY meal usuage that her 2 sets get..., the grands always ""celebrate"" when Grandma comes to visit and then use this with REAL food!",NA,"[3, 4]",0
How many gallons does it hold?,descriptive,idk... but  it's a  large  pool.   atleast 4  kids  can  fit.  I  would  say  about 25   gallons  already,NA,"[0, 1]",0
How many gallons does it hold?,descriptive,idk... but  it's a  large  pool.   atleast 4  kids  can  fit.  I  would  say  about 25   gallons  already,NA,"[0, 2]",0
How many gallons does it hold?,descriptive,I don't know. I used it for a ball pit. It's pretty big though,NA,"[0, 2]",0
is thls appropriate foir a 16 month old he can stand but not walk yet,yesno,"Yes- it will probably be motivating to help him walk. That was around the age I got this for my baby and he's still vacuuming like crazy at 22 months. If it really worked, our house would be immaculate.",Y,"[3, 3]",1
"What does it mean ""yellow or red, blue or green, black or white?"" Looks like all these colors.",descriptive,"It is all of the colors pictured and described, including a bottle of thinner. It isn't ""or"", it should be ""and"". I think it was probably translated from another language or something.",NA,"[10, 10]",1
"What does it mean ""yellow or red, blue or green, black or white?"" Looks like all these colors.",descriptive,It is all those colors. And more.,NA,"[3, 3]",1
does this set come with paint thinner,yesno,Yes it does but you may want to consider getting a larger container to fill it up when you run out.  You would be surprised how fast paint thinner disappears especially when using several different colors and brushes that are different sizes that use more paint and paint thinner to keep clean.,Y,"[2, 2]",1
"Is the red, yellow, green and blue metallic or solid?",descriptive,It comes in a variety of colors.  you can get lots of different colors.,NA,"[1, 2]",0
"Is the red, yellow, green and blue metallic or solid?",descriptive,solid,NA,"[0, 1]",0
"Is the red, yellow, green and blue metallic or solid?",descriptive,They're solid,NA,"[0, 1]",0
"Is the red, yellow, green and blue metallic or solid?",descriptive,"It's a solid gloss, but I'm telling you, avoid testors like the plague!  You want either citadel or tamiya paints!",NA,"[1, 3]",0
Can this paint be baked and be used to paint onto ceramic mugs?,descriptive,"I bought the paint to use on a plastic model car. I haven't tried it on ceramics. But here is the Testors website.http://www.testors.com/pages/help-and-support/faqs/general-questions/General Questions:4. Can you bake the enamel or acrylic paint?""We do not recommend that the enamel paints be placed in any oven or kiln at any temperatures, due to performance and safety issues. Enamels are considered Flammable/Volatile materials and do have a flash point.  We also do not recommend the baking of the Acrylics, which are certified non-toxic, however they were never designed with the idea of baking in mind and we cannot be held responsible for the outcome.""",NA,"[2, 2]",1
Can this paint be baked and be used to paint onto ceramic mugs?,descriptive,"To the best of my knowledge, as far as baking I don't think so.",NA,"[0, 1]",0
well this work on fabrics,descriptive,I'm not sure and don't want to pretend to know and give the wrong advice. I've only used it on plastic and it worked well.,NA,"[0, 1]",0
What is the size of the sandbox?,descriptive,"Exterior is 48"" x 38 "". The interior is about 44 x 37"" and angled at the corners for the seats.  We've had ours for years and it's held up super well. It's in the sun about half the day and that might help how it's worn.  But kids and dogs have climbed on the lid (I try to keep them off) and no cracks yet.  The seats are more for me and although small, are tolerable for a while.  Was just out in ours yesterday with 2 grandkids. I like ours much better than the ones you usually see and it fits with our sandstone-type brick work we have here.",NA,"[2, 2]",1
"Is this sandbox good for a 4 year old? My son is turning 4 in July 2010, I was figuring maybe a sandbox is good for him for his birthday, but I see a lot of reviews for younger kids.  Is this sandbox a good fit for a 4 year old?  Is it large enough for him to play with at least a few more years?  Or is a different model better?  (want to spend no more than $80-100).  And on a side note: at what age did kids stop using a sandbox about?Ironically he has sand toys (the tall wheel spinner) and rakes etc, but no sandbox!  Thanks...",descriptive,"Tiffany is right, my almost 5 year olds fits in here with his 2 year old sister and still loves sand. Especially if you bury something fun in there like plastic dinosaur fossils for him to dig up!",NA,"[2, 2]",1
"Is this sandbox good for a 4 year old? My son is turning 4 in July 2010, I was figuring maybe a sandbox is good for him for his birthday, but I see a lot of reviews for younger kids.  Is this sandbox a good fit for a 4 year old?  Is it large enough for him to play with at least a few more years?  Or is a different model better?  (want to spend no more than $80-100).  And on a side note: at what age did kids stop using a sandbox about?Ironically he has sand toys (the tall wheel spinner) and rakes etc, but no sandbox!  Thanks...",descriptive,"Ironically, I've done this before, I'll answer my own question.  I bought the sandbox at Aldi for his 4th birthday.  He loves it.  At almost 5, he has absolutely no problem with the height and 6 and 7 year old's play with it too with no problem.  Obviously it can last to age 6-7 and beyond so the age question answered itself.  It has a nice lid, hard to fasten so I just place it on top.  He loves the little ramps for his cars and we leave construction vehicles (Matchbox size) in there and he loves that.  Water is fun for one side but it creates slimy algae mess so I rarely fill it up or if I do, I empty it every day.  Expect sand to be all over your patio or wherever you place it, which is slightly hazardous as we didn't realize how slippery it can be.  All in all, a great investment!",NA,"[2, 3]",0
Has anyone used this as a kiddie pool?  Does it hold water well?,descriptive,"I just used it as a kiddie pool for my 3.5 yr old. It was perfect. A little heavy to tip the water out, but you can scoop the majority out with a bucket first so no biggie.",NA,"[3, 3]",1
how big is the tractor?,descriptive,"It's about 15.5 inches long, including the wagon, which does not detach. It's 5.5 inches wide and 7 inches tall.  The picture doesn't show, but there's an arch above the tractor, right behind the driver, that you can use like a handle to pick up the whole thing.  The wagon and the tractor articulate sideways, but when you pick it off the ground it stays level. This was a hit.  My son still loves it almost two years later.",NA,"[2, 2]",1
"I've had this for a while and it doesn't make sound anymore but the lights and wheels work.  Does anyone know how to fix that, I can't find a manual",descriptive,I'm not sure about how to fix it but maybe there are different batteries for different things.  Also our tractor animas had gotten wet and it didn't work for a little till it dried out.  My other suggestions is to try to contact the maker's website and ask,NA,"[0, 1]",0
Our tractor stopped playing music. We just replaced the batteries and it still goes but no music. What can we do?,descriptive,"We haven't had that to happen to our grandson's toy and he does use it often, so I don't know what to suggest, except to contact the Kidoozie Company.  Sorry.  Seems the batteries would have been the solution.  If it's new, maybe send back to Amazon.",NA,"[0, 1]",0
Age range for this toy,descriptive,"It says 3 I think, however my 4 year old granddaughter got it at age 2 and rediscovered it at age 4, her one year old sister plays very well with it.",NA,"[0, 1]",0
Does the 2013-2014 product still contain barium (Canadian recall) and do the 2013-2014 paints still peel off?,descriptive,"No...there is not a recall on this, nor does the paint chip off. The only problems i've had is that the glue that holds the posts on and the wheels on, is very weak and within a few playings, it all falls apart.",NA,"[2, 2]",1
Does the 2013-2014 product still contain barium (Canadian recall) and do the 2013-2014 paints still peel off?,descriptive,"I haven't had the previous customer problems with the glue or any paint chipping. I still keep it in it's original box for the grandchildren. Although made in China, the box states that it meets all US toy standards, if that is any help. I purchased this toy in late 2012 for Christmas.tomTOm",NA,"[2, 2]",1
"Are these foam, as one review says, or are they real rubber? We try to avoid foam toys. Thanks!",descriptive,"I do not really know,, soft rubber or hard foam... it does bend easily. .. I do not like very much I think they are expensive for what they areI hope it helps",NA,"[0, 1]",0
Would this be a good airplane toy for a 15mo old? I'm worried she might be too young to play with or be interested in it...,descriptive,"My grandson was 22 months old.  We used the squares and cutouts on the plane but not the pegs.  We used the pegs in the hotel room though.  Just remember that things that come apart can be dropped and 'lost' under the seat, especially if they like to throw things!  Not sure if it was worth the money.  The best toy we found was Bucky.  It is a turtle that has buckles all over it. That kept him very entertained.  We were way overpacked with toys.  Our grandson loved looking out the window and we planned it so he played like crazy at the airport and fell asleep after taking off.",NA,"[7, 7]",1
Would this be a good airplane toy for a 15mo old? I'm worried she might be too young to play with or be interested in it...,descriptive,We flew with my son when he was 15mo old he did play with it. The pegs keep them busy pushing and pulling them together. I was worried we would loose some of the part on the plane but it all worked out good . My son love this toy still.,NA,"[3, 3]",1
Would this be a good airplane toy for a 15mo old? I'm worried she might be too young to play with or be interested in it...,descriptive,"That probably depends on your child.  I got them for my son at 12 months and at that point he mostly had fun popping the shapes out of their mold (basically, the cat you see in the picture pops out of the red surround to essentially make a 2 pc puzzle).  I had to put it back in for him but it kept him entertained.  I don't remember if he used the pegs or not right away. Again, that might depend on your child.  Good luck!",NA,"[2, 2]",1
Would this be a good airplane toy for a 15mo old? I'm worried she might be too young to play with or be interested in it...,descriptive,"Hi,My daughter received it at 18 months, and each child is different.  If she has interest in putting things together (pegs and puzzle pieces) and can manipulate her hands to take the items apart, I would recommend it.  It has the little pegs that stick together and can fit into little holes on shapes.  It does have bright colors and shapes to talk about.  I am unsure of how long the 15 mo old would play with it, so I would have a back up for a long flight.Have a blessed day!",NA,"[2, 2]",1
where is Lauri Toys Toddler Tote made?,descriptive,"The box says ""Crafted in the USA"" and gives the address of Lauri Toys as Box 0263, Smethport, PA, 16749.",NA,"[2, 2]",1
where is Lauri Toys Toddler Tote made?,descriptive,USA,NA,"[2, 2]",1
where is Lauri Toys Toddler Tote made?,descriptive,"My box says ""Made in China.""  I'm returning it.",NA,"[2, 2]",1
where is Lauri Toys Toddler Tote made?,descriptive,"Just received it in mail and it says ""Made in China"" despite the product description on Amazon.",NA,"[2, 2]",1
what is the dimention of the hole?  I'm looking for beads to string on a 3/8 inch rope for a childs swing,descriptive,"I can't answer.  I gave this as a gift, but I think it was large,like maybe a quarter of a inch.",NA,"[0, 1]",0
what is the dimention of the hole?  I'm looking for beads to string on a 3/8 inch rope for a childs swing,descriptive,"Hello Becca, you could lace a string very confortabilly.",NA,"[0, 2]",0
does this bead set come with the string,yesno,"Well, yes. But, some ""users"" have a problem with the end of the string - the aglet - not being long enough to feed through the beads. If hands are clumsy, it is difficult to feed it through and catch it on the other side before you drop it.",NA,"[2, 3]",0
"Could a near-4-year-old use this? Hi --have a girl, around 38-40 lbs, who used what I believe was this model in a hotel pool, loved it -- am wondering if, despite the product's message that it is for up to 3 yrs. of age, it could be used for an older kid.All best,EM",descriptive,"I would not recommend this for a child that age. I mange an indoor pool and this is a great product that we get a lot of use out of, but children older (larger) that a two-year old are big enough and strong enough to easily tip this toy over. Once tipped over, an older child's legs get caught in the leg holes, and they get trapped upside down. For safe pool play, I would recommend the Supersoft Life Jacket from Texas recreation (fun, comfortable, and safe) and of course constant adult supervision. =) Swimways also makes a regular kid or adult sized Spring Float that would be safer when paired with a lifejacket. Hope that helps!",NA,"[4, 4]",1
"What is the accurate size? It says Measures approximately 12.5"" x 11.75"" x 2.5""  But I think it seems to small, but without seeing it I am unsure.",descriptive,"Yes, we love it. It's our second one.",NA,"[0, 1]",0
are these plastic?,yesno,They are made of wood and painted to look like the food group.  My grandchildren (ages 2 yrs. and 15 mons.) love to play with them and can easily identify the foods.  They love spending time playing with these with their cooking set.  I highly recommend them.,NA,"[2, 2]",1
"Are the pieces (sink, refrigerator, etc.) all attached together or can they stand alone?",descriptive,They stand alone!,NA,"[2, 2]",1
"Are the pieces (sink, refrigerator, etc.) all attached together or can they stand alone?",descriptive,They stand alone.,NA,"[2, 2]",1
"Are the pieces (sink, refrigerator, etc.) all attached together or can they stand alone?",descriptive,They're all separate / stand-alone pieces.  Doors actually open up.  They've withstood a 2yr old and a 4 yr old for over a year of frequent use.,NA,"[2, 2]",1
Does this globe tilt as well as spin or is it set in it's axis to only spin?,descriptive,YES! It tilts and spins. We really like it a lot.,NA,"[5, 5]",1
Does this globe tilt as well as spin or is it set in it's axis to only spin?,descriptive,It swivels on all axes.,NA,"[4, 4]",1
Does this globe tilt as well as spin or is it set in it's axis to only spin?,descriptive,"Yes, it does tilt also.  It is really a pretty piece and I am very happy with my purchase.",NA,"[4, 4]",1
Does this globe tilt as well as spin or is it set in it's axis to only spin?,descriptive,Tilts as well as spins. Beautiful piece. Bought for my home office but moved it to living room so everyone could enjoy.,NA,"[4, 4]",1
"Is the globe itself made of metal or is it cardboard? If its cardboard, what about it exactly is ""Bronze Metallic""?",descriptive,Cardboard.  Overall coloration is bronze-metallic; for instance water color is beige.  I think it 's very attractive.,NA,"[2, 2]",1
"Is the globe itself made of metal or is it cardboard? If its cardboard, what about it exactly is ""Bronze Metallic""?",descriptive,"It is not a metal globe, maybe cardboard with a plastic Meridian ring around the entire globe. Although the materials may sound cheap, it does have a realistic appearance of being bronze or metallic like. It shows well with a richly stained stand that really gives it a rich appearance. I'm very happy with the globe, it simply looks good and it functional as well.",NA,"[2, 2]",1
"Is the globe itself made of metal or is it cardboard? If its cardboard, what about it exactly is ""Bronze Metallic""?",descriptive,It is made of metal. And it is beautiful!,NA,"[0, 2]",0
"Is the map current, up to date?",descriptive,"Yes! Now, I'm not a geographical major of any sort but after scrutiny and close examination, it appears to be current. I do anticipate some global changes in the near future IE; Ukrain & Middle East but that's not an anomaly by any means, so you must accept the fact that any Globe purchase comes with the risk of becoming outdated or even obsolete as the world turns, so to speak. If you check the manufacturers website, it appears as though quality control is a key component of their success, at least I was convinced. To sum it all up, I have been very pleased with my purchase as it is both functional and a nice (furniture) accessory. Best wishes...",NA,"[1, 2]",0
"Is the map current, up to date?",descriptive,"Yes, very. I love it!",NA,"[0, 2]",0
What special paint is needed ? Aside from the basics.,descriptive,"Testers used to make a 'buffing' aluminum spray paint. Worked well to give they 'shinnyaluminum' look look these planes did during WW II. Spray it on, let it dry completely, then with a soft rag 'buff' the paint out.",NA,"[2, 2]",1
I'm not a small man.  So I'm lookig for a float that I can comfprtable in.  Will this one work for me?,descriptive,Sorry it was a Christmas present and I haven't opened it yet.,NA,"[0, 1]",0
"Hello D+L, I don't need replacement rockets, I need the blue tails. They get damaged and rockets fly erratic, I am sure I am not the only one that would buy a ten pack of replacement tails. Thanks",descriptive,"Since my grandchildren only get to visit from out of state a couple times a year, our rockets have not gotten a work out to experience the same problem.  Sorry I cannot be of assistance.  Siince they don't cost that much and the joy the kids get, perhaps it would be best to just replace the rockets.  Sorry.",NA,"[0, 1]",0
Air Hogs Replacement Rockets I am looking for replacement rockets for my son's Air Hogs rocket launcher.  From the blogs I've seen online it seems other people are having trouble finding replacements as well.  I was wondering if the Ultra Stomp rocket refills would fit on the Air Hogs launcher.  Has anyone tried this?,descriptive,I just spoke with someone at SpinMaster (the parent company of Air Hogs) and they confirmed that replacement rockets are not availble. I'm headed out to pickup a Stomp Rocket system as there are numerous replacements available for those.,NA,"[2, 2]",1
Do these work with the Stomp Rocket Jr.?,descriptive,I don't know. I bought these for the Ultra Stomp Rocket.,NA,"[0, 1]",0
Hoe many rockets come in the replacement packs?,descriptive,I'm not sure but I think it was either two or four replacement rockets.,NA,"[0, 1]",0
Do these dolls fit in Melissa and Doug victorian doll house?,descriptive,I do not know.  We bought it for a homemade dollhouse.,NA,"[0, 2]",0
Do these dolls fit in Melissa and Doug victorian doll house?,descriptive,"They were not purchased for the M&D; Victorian doll house, so, I am unable to help.",NA,"[0, 2]",0
Please answer the question several people have asked. My question is the same: How tall are the dolls?,descriptive,Sorry the dolls have been relocated and I do not recall their size.,NA,"[0, 5]",0
what is the best age?,descriptive,I would say three and a half years old and up any younger than that they might have a balance issue as you have to stop on the Launcher. Fun toy,NA,"[3, 3]",1
what is the best age?,descriptive,"My grandson just turned three, and he loved it!  But the older kids at his birthday party were having fun with it, too.  Heck, I was having fun playing with it.  I really think three to eight would be the optimal ages for this.",NA,"[2, 2]",1
